% AB mag
% 1.2
% WD model 18000K log g=8 FUV=18.5mag
1025.590484 25.426783
1025.692438 25.442949
1025.794393 25.438948
1025.896347 25.415158
1025.998301 25.374191
1026.100255 25.320178
1026.202209 25.257795
1026.304163 25.191418
1026.406117 25.124605
1026.508071 25.059906
1026.610025 24.998912
1026.711980 24.942428
1026.813934 24.890675
1026.915888 24.843495
1027.017842 24.800503
1027.119796 24.761207
1027.221750 24.725082
1027.323704 24.691650
1027.425658 24.660475
1027.527613 24.631185
1027.629567 24.603472
1027.731521 24.577081
1027.833475 24.551814
1027.935429 24.527501
1028.037383 24.504012
1028.139337 24.481234
1028.241291 24.459075
1028.343246 24.437477
1028.445200 24.416378
1028.547154 24.395745
1028.649108 24.375532
1028.751062 24.355720
1028.853016 24.336279
1028.954970 24.317195
1029.056924 24.298439
1029.158879 24.280000
1029.260833 24.261840
1029.362787 24.243935
1029.464741 24.226262
1029.566695 24.208784
1029.668649 24.191470
1029.770603 24.174278
1029.872557 24.157173
1029.974511 24.140110
1030.076466 24.123050
1030.178420 24.105954
1030.280374 24.088774
1030.382328 24.071481
1030.484282 24.054036
1030.586236 24.036420
1030.688190 24.018614
1030.790144 24.000616
1030.892099 23.982431
1030.994053 23.964077
1031.096007 23.945580
1031.197961 23.926974
1031.299915 23.908299
1031.401869 23.889592
1031.503823 23.870891
1031.605777 23.852231
1031.707732 23.833646
1031.809686 23.815157
1031.911640 23.796784
1032.013594 23.778538
1032.115548 23.760430
1032.217502 23.742459
1032.319456 23.724629
1032.421410 23.706935
1032.523364 23.689378
1032.625319 23.671952
1032.727273 23.654657
1032.829227 23.637490
1032.931181 23.620452
1033.033135 23.603544
1033.135089 23.586782
1033.237043 23.570180
1033.338997 23.553762
1033.440952 23.537566
1033.542906 23.521635
1033.644860 23.506011
1033.746814 23.490744
1033.848768 23.475872
1033.950722 23.461424
1034.052676 23.447411
1034.154630 23.433823
1034.256585 23.420617
1034.358539 23.407730
1034.460493 23.395070
1034.562447 23.382524
1034.664401 23.369964
1034.766355 23.357251
1034.868309 23.344253
1034.970263 23.330836
1035.072218 23.316877
1035.174172 23.302277
1035.276126 23.286940
1035.378080 23.270794
1035.480034 23.253778
1035.581988 23.235838
1035.683942 23.216924
1035.785896 23.196991
1035.887850 23.176000
1035.989805 23.153906
1036.091759 23.130678
1036.193713 23.106290
1036.295667 23.080730
1036.397621 23.054007
1036.499575 23.026151
1036.601529 22.997220
1036.703483 22.967297
1036.805438 22.936488
1036.907392 22.904916
1037.009346 22.872720
1037.111300 22.840042
1037.213254 22.807024
1037.315208 22.773791
1037.417162 22.740460
1037.519116 22.707121
1037.621071 22.673847
1037.723025 22.640690
1037.824979 22.607685
1037.926933 22.574852
1038.028887 22.542210
1038.130841 22.509771
1038.232795 22.477558
1038.334749 22.445606
1038.436703 22.413959
1038.538658 22.382675
1038.640612 22.351814
1038.742566 22.321466
1038.844520 22.291710
1038.946474 22.262624
1039.048428 22.234269
1039.150382 22.206707
1039.252336 22.179961
1039.354291 22.154037
1039.456245 22.128914
1039.558199 22.104560
1039.660153 22.080892
1039.762107 22.057828
1039.864061 22.035283
1039.966015 22.013134
1040.067969 21.991298
1040.169924 21.969679
1040.271878 21.948188
1040.373832 21.926762
1040.475786 21.905368
1040.577740 21.883968
1040.679694 21.862578
1040.781648 21.841205
1040.883602 21.819883
1040.985556 21.798658
1041.087511 21.777588
1041.189465 21.756725
1041.291419 21.736119
1041.393373 21.715831
1041.495327 21.695898
1041.597281 21.676352
1041.699235 21.657204
1041.801189 21.638464
1041.903144 21.620130
1042.005098 21.602180
1042.107052 21.584594
1042.209006 21.567337
1042.310960 21.550375
1042.412914 21.533668
1042.514868 21.517172
1042.616822 21.500848
1042.718777 21.484661
1042.820731 21.468568
1042.922685 21.452542
1043.024639 21.436556
1043.126593 21.420591
1043.228547 21.404630
1043.330501 21.388655
1043.432455 21.372672
1043.534410 21.356672
1043.636364 21.340660
1043.738318 21.324631
1043.840272 21.308589
1043.942226 21.292540
1044.044180 21.276481
1044.146134 21.260412
1044.248088 21.244327
1044.350042 21.228215
1044.451997 21.212067
1044.553951 21.195871
1044.655905 21.179610
1044.757859 21.163271
1044.859813 21.146839
1044.961767 21.130301
1045.063721 21.113652
1045.165675 21.096892
1045.267630 21.080024
1045.369584 21.063062
1045.471538 21.046029
1045.573492 21.028954
1045.675446 21.011874
1045.777400 20.994834
1045.879354 20.977887
1045.981308 20.961080
1046.083263 20.944472
1046.185217 20.928117
1046.287171 20.912064
1046.389125 20.896365
1046.491079 20.881057
1046.593033 20.866175
1046.694987 20.851742
1046.796941 20.837770
1046.898895 20.824260
1047.000850 20.811201
1047.102804 20.798571
1047.204758 20.786335
1047.306712 20.774446
1047.408666 20.762852
1047.510620 20.751492
1047.612574 20.740299
1047.714528 20.729208
1047.816483 20.718149
1047.918437 20.707058
1048.020391 20.695873
1048.122345 20.684547
1048.224299 20.673034
1048.326253 20.661305
1048.428207 20.649344
1048.530161 20.637149
1048.632116 20.624733
1048.734070 20.612118
1048.836024 20.599347
1048.937978 20.586465
1049.039932 20.573533
1049.141886 20.560614
1049.243840 20.547777
1049.345794 20.535098
1049.447749 20.522646
1049.549703 20.510492
1049.651657 20.498701
1049.753611 20.487335
1049.855565 20.476444
1049.957519 20.466076
1050.059473 20.456261
1050.161427 20.447021
1050.263381 20.438370
1050.365336 20.430304
1050.467290 20.422813
1050.569244 20.415875
1050.671198 20.409459
1050.773152 20.403530
1050.875106 20.398044
1050.977060 20.392959
1051.079014 20.388229
1051.180969 20.383812
1051.282923 20.379667
1051.384877 20.375758
1051.486831 20.372054
1051.588785 20.368529
1051.690739 20.365163
1051.792693 20.361942
1051.894647 20.358854
1051.996602 20.355894
1052.098556 20.353063
1052.200510 20.350359
1052.302464 20.347788
1052.404418 20.345352
1052.506372 20.343056
1052.608326 20.340901
1052.710280 20.338894
1052.812234 20.337029
1052.914189 20.335306
1053.016143 20.333717
1053.118097 20.332255
1053.220051 20.330905
1053.322005 20.329652
1053.423959 20.328477
1053.525913 20.327359
1053.627867 20.326275
1053.729822 20.325200
1053.831776 20.324108
1053.933730 20.322979
1054.035684 20.321788
1054.137638 20.320520
1054.239592 20.319158
1054.341546 20.317699
1054.443500 20.316138
1054.545455 20.314485
1054.647409 20.312749
1054.749363 20.310952
1054.851317 20.309119
1054.953271 20.307280
1055.055225 20.305473
1055.157179 20.303736
1055.259133 20.302111
1055.361088 20.300642
1055.463042 20.299371
1055.564996 20.298346
1055.666950 20.297607
1055.768904 20.297194
1055.870858 20.297143
1055.972812 20.297480
1056.074766 20.298229
1056.176720 20.299402
1056.278675 20.301005
1056.380629 20.303031
1056.482583 20.305466
1056.584537 20.308286
1056.686491 20.311457
1056.788445 20.314940
1056.890399 20.318683
1056.992353 20.322634
1057.094308 20.326731
1057.196262 20.330911
1057.298216 20.335105
1057.400170 20.339245
1057.502124 20.343263
1057.604078 20.347089
1057.706032 20.350660
1057.807986 20.353909
1057.909941 20.356781
1058.011895 20.359222
1058.113849 20.361182
1058.215803 20.362622
1058.317757 20.363502
1058.419711 20.363799
1058.521665 20.363486
1058.623619 20.362551
1058.725573 20.360985
1058.827528 20.358783
1058.929482 20.355949
1059.031436 20.352489
1059.133390 20.348415
1059.235344 20.343739
1059.337298 20.338475
1059.439252 20.332642
1059.541206 20.326254
1059.643161 20.319329
1059.745115 20.311880
1059.847069 20.303920
1059.949023 20.295462
1060.050977 20.286512
1060.152931 20.277075
1060.254885 20.267156
1060.356839 20.256751
1060.458794 20.245859
1060.560748 20.234476
1060.662702 20.222592
1060.764656 20.210202
1060.866610 20.197296
1060.968564 20.183868
1061.070518 20.169907
1061.172472 20.155411
1061.274427 20.140372
1061.376381 20.124790
1061.478335 20.108664
1061.580289 20.091999
1061.682243 20.074802
1061.784197 20.057087
1061.886151 20.038870
1061.988105 20.020177
1062.090059 20.001036
1062.192014 19.981481
1062.293968 19.961555
1062.395922 19.941304
1062.497876 19.920776
1062.599830 19.900026
1062.701784 19.879123
1062.803738 19.858112
1062.905692 19.837057
1063.007647 19.816042
1063.109601 19.795110
1063.211555 19.774337
1063.313509 19.753784
1063.415463 19.733509
1063.517417 19.713581
1063.619371 19.694039
1063.721325 19.674935
1063.823280 19.656311
1063.925234 19.638212
1064.027188 19.620650
1064.129142 19.603659
1064.231096 19.587249
1064.333050 19.571418
1064.435004 19.556178
1064.536958 19.541513
1064.638912 19.527419
1064.740867 19.513861
1064.842821 19.500830
1064.944775 19.488294
1065.046729 19.476225
1065.148683 19.464581
1065.250637 19.453337
1065.352591 19.442441
1065.454545 19.431870
1065.556500 19.421591
1065.658454 19.411562
1065.760408 19.401758
1065.862362 19.392162
1065.964316 19.382742
1066.066270 19.373495
1066.168224 19.364399
1066.270178 19.355462
1066.372133 19.346670
1066.474087 19.338044
1066.576041 19.329586
1066.677995 19.321325
1066.779949 19.313267
1066.881903 19.305452
1066.983857 19.297909
1067.085811 19.290664
1067.187766 19.283770
1067.289720 19.277249
1067.391674 19.271154
1067.493628 19.265524
1067.595582 19.260387
1067.697536 19.255788
1067.799490 19.251754
1067.901444 19.248320
1068.003398 19.245497
1068.105353 19.243310
1068.207307 19.241771
1068.309261 19.240879
1068.411215 19.240644
1068.513169 19.241053
1068.615123 19.242092
1068.717077 19.243751
1068.819031 19.246005
1068.920986 19.248818
1069.022940 19.252160
1069.124894 19.255996
1069.226848 19.260280
1069.328802 19.264971
1069.430756 19.270011
1069.532710 19.275362
1069.634664 19.280960
1069.736619 19.286755
1069.838573 19.292702
1069.940527 19.298750
1070.042481 19.304847
1070.144435 19.310944
1070.246389 19.317004
1070.348343 19.322997
1070.450297 19.328872
1070.552251 19.334613
1070.654206 19.340188
1070.756160 19.345575
1070.858114 19.350759
1070.960068 19.355722
1071.062022 19.360469
1071.163976 19.364984
1071.265930 19.369282
1071.367884 19.373362
1071.469839 19.377245
1071.571793 19.380943
1071.673747 19.384480
1071.775701 19.387886
1071.877655 19.391180
1071.979609 19.394393
1072.081563 19.397565
1072.183517 19.400720
1072.285472 19.403887
1072.387426 19.407097
1072.489380 19.410391
1072.591334 19.413790
1072.693288 19.417322
1072.795242 19.421015
1072.897196 19.424904
1072.999150 19.428999
1073.101105 19.433323
1073.203059 19.437898
1073.305013 19.442735
1073.406967 19.447845
1073.508921 19.453223
1073.610875 19.458875
1073.712829 19.464798
1073.814783 19.470982
1073.916737 19.477409
1074.018692 19.484056
1074.120646 19.490920
1074.222600 19.497960
1074.324554 19.505152
1074.426508 19.512467
1074.528462 19.519857
1074.630416 19.527308
1074.732370 19.534754
1074.834325 19.542178
1074.936279 19.549520
1075.038233 19.556737
1075.140187 19.563783
1075.242141 19.570620
1075.344095 19.577199
1075.446049 19.583467
1075.548003 19.589386
1075.649958 19.594919
1075.751912 19.600019
1075.853866 19.604648
1075.955820 19.608766
1076.057774 19.612352
1076.159728 19.615360
1076.261682 19.617759
1076.363636 19.619538
1076.465590 19.620660
1076.567545 19.621107
1076.669499 19.620868
1076.771453 19.619913
1076.873407 19.618241
1076.975361 19.615841
1077.077315 19.612699
1077.179269 19.608822
1077.281223 19.604194
1077.383178 19.598831
1077.485132 19.592721
1077.587086 19.585875
1077.689040 19.578299
1077.790994 19.570016
1077.892948 19.561019
1077.994902 19.551333
1078.096856 19.540977
1078.198811 19.529970
1078.300765 19.518340
1078.402719 19.506108
1078.504673 19.493301
1078.606627 19.479956
1078.708581 19.466093
1078.810535 19.451749
1078.912489 19.436964
1079.014444 19.421758
1079.116398 19.406165
1079.218352 19.390230
1079.320306 19.373978
1079.422260 19.357445
1079.524214 19.340660
1079.626168 19.323657
1079.728122 19.306479
1079.830076 19.289146
1079.932031 19.271692
1080.033985 19.254157
1080.135939 19.236571
1080.237893 19.218965
1080.339847 19.201370
1080.441801 19.183820
1080.543755 19.166347
1080.645709 19.148980
1080.747664 19.131743
1080.849618 19.114672
1080.951572 19.097778
1081.053526 19.081091
1081.155480 19.064626
1081.257434 19.048401
